match_id,date,innings,team,player,overs,balls_bowled,wickets,runs_conceded,economy,maidens,wides,no_balls
1512764,2026-02-25,1,Sri Lanka,M Theekshana,4.0,24,3,30,7.5,0,1,0
1512764,2026-02-25,1,Sri Lanka,PVD Chameera,4.0,24,3,38,9.5,0,0,0
1512764,2026-02-25,1,Sri Lanka,DN Wellalage,4.0,24,1,27,6.75,0,0,0
1512764,2026-02-25,1,Sri Lanka,KIC Asalanka,3.0,18,0,17,5.67,0,0,0
1512764,2026-02-25,1,Sri Lanka,MADI Hemantha,2.0,12,0,22,11.0,0,0,0
1512764,2026-02-25,1,Sri Lanka,D Madushanka,3.0,18,0,34,11.33,0,3,0
1512764,2026-02-25,2,New Zealand,R Ravindra,4.0,24,4,27,6.75,0,3,0
1512764,2026-02-25,2,New Zealand,MJ Henry,2.0,12,2,3,1.5,1,0,0
1512764,2026-02-25,2,New Zealand,MJ Santner,4.0,24,1,19,4.75,0,0,0
1512764,2026-02-25,2,New Zealand,GD Phillips,4.0,24,1,22,5.5,0,0,0
1512764,2026-02-25,2,New Zealand,LH Ferguson,1.0,6,0,3,3.0,0,0,0
1512764,2026-02-25,2,New Zealand,IS Sodhi,2.0,12,0,13,6.5,0,0,0
1512764,2026-02-25,2,New Zealand,CE McConchie,3.0,18,0,20,6.67,0,1,0
