"player_name","full_name","country","format","matches","innings","total_balls","overs","runs_conceded","wickets","average","economy","strike_rate","four_wkt","five_wkt","best_bowling"
"A Johnson","Aaron Johnson","Canada","t20s",3,3,30,"5.0",36,0,36,7.2,30,0,0,"0/4"
"AS Dean","Abzal S Dean","Canada","t20s",1,1,12,"2.0",14,0,14,7,12,0,0,"0/14"
"Akhil Kumar","Akhil Kumar","Canada","t20s",12,12,196,"32.4",254,10,25.4,7.78,19.6,0,0,"3/21"
"AS Hansra","Amarbir Singh Hansra","Canada","t20s",6,6,90,"15.0",94,7,13.43,6.27,12.86,0,0,"2/13"
"Ammar Khalid","Ammar Khalid","Canada","t20s",7,7,156,"26.0",176,12,14.67,6.77,13,1,0,"4/17"
"Arsalan Qadir","Arsalan Qadir","Canada","t20s",1,1,6,"1.0",12,0,12,12,6,0,0,"0/12"
"C Pervez","Cecil Pervez Khan","Canada","t20s",3,3,42,"7.0",50,3,16.67,7.14,14,0,0,"3/7"
"D Heyliger","Dillon Heyliger","Canada","t20s",54,54,972,"162.0",1256,46,27.3,7.75,21.13,1,1,"5/18"
"DS Bajwa","Dilpreet Singh Bajwa","Canada","t20s",6,6,60,"10.0",103,2,51.5,10.3,30,0,0,"1/22"
"GDR Eranga","Galkandage Don Romesh Eranga","Canada","t20s",8,8,168,"28.0",192,10,19.2,6.86,16.8,0,0,"3/20"
"GEF Barnett","Geoffery Edward Fulton Barnett","Canada","t20s",1,1,6,"1.0",11,0,11,11,6,0,0,"0/11"
"H Thaker","Harsh Thaker","Canada","t20s",40,40,712,"118.4",728,38,19.16,6.13,18.74,1,0,"4/20"
"HS Baidwan","Harvir Singh Baidwan","Canada","t20s",7,7,126,"21.0",162,7,23.14,7.71,18,0,0,"3/29"
"H Osinde","Henry Osinde","Canada","t20s",4,4,66,"11.0",103,3,34.33,9.36,22,0,0,"3/36"
"H Patel","Hiral Patel","Canada","t20s",4,4,59,"9.5",78,2,39,7.93,29.5,0,0,"2/23"
"J Matharu","Jatinderpal Matharu","Canada","t20s",5,5,78,"13.0",125,3,41.67,9.62,26,0,0,"3/61"
"JOA Gordon","Jeremy Oliver Alster Gordon","Canada","t20s",16,16,326,"54.2",419,20,20.95,7.71,16.3,0,0,"3/15"
"JM Davison","John Michael Davison","Canada","t20s",2,2,36,"6.0",43,1,43,7.17,36,0,0,"1/24"
"Junaid Siddiqui","Junaid Siddiqui","Canada","t20s",20,20,391,"65.1",372,14,26.57,5.71,27.93,0,0,"3/10"
"Kaleem Sana","Kaleem Sana Rehman","Canada","t20s",42,42,878,"146.2",938,62,15.13,6.41,14.16,5,0,"4/25"
"Khurram Chohan","Khurram Rasheed Chohan","Canada","t20s",2,2,25,"4.1",51,0,51,12.24,25,0,0,"0/36"
"MS Aulakh","Maninderjit Singh Aulakh","Canada","t20s",3,3,54,"9.0",85,3,28.33,9.44,18,0,0,"2/41"
"MR Montfort","Mark Rondell Montfort","Canada","t20s",1,1,18,"3.0",27,1,27,9,18,0,0,"1/27"
"M Spoors","Matthew Spoors","Canada","t20s",1,1,12,"2.0",5,1,5,2.5,12,0,0,"1/5"
"NS Dhaliwal","Navneet Singh Dhaliwal","Canada","t20s",6,6,60,"10.0",61,4,15.25,6.1,15,0,0,"1/11"
"NR Kirton","Nicholas Rasheed Kirton","Canada","t20s",7,7,54,"9.0",97,4,24.25,10.78,13.5,0,0,"1/14"
"N Dutta","Nikhil Dutta","Canada","t20s",24,24,451,"75.1",507,24,21.12,6.75,18.79,1,0,"4/13"
"NR Kumar","Nitish Roenick Kumar","Canada","t20s",11,11,156,"26.0",167,6,27.83,6.42,26,0,0,"2/23"
"Pargat Singh","Pargat Singh","Canada","t20s",6,6,54,"9.0",92,3,30.67,10.22,18,0,0,"2/25"
"PA Desai","Parth Ajaykumar Desai","Canada","t20s",1,1,18,"3.0",32,1,32,10.67,18,0,0,"1/32"
"Ravinderpal Singh","Ravinderpal Singh","Canada","t20s",3,3,25,"4.1",29,2,14.5,6.96,12.5,0,0,"2/10"
"R Pathan","Rayyankhan Pathan","Canada","t20s",1,1,12,"2.0",24,0,24,12,12,0,0,"0/24"
"Raza-ur-Rehman","Raza-ur-Rehman","Canada","t20s",3,3,54,"9.0",58,2,29,6.44,27,0,0,"2/16"
"RR Joshi","Rishiv Ragav Joshi","Canada","t20s",7,7,130,"21.4",184,5,36.8,8.49,26,0,0,"1/4"
"Rizwan Cheema","Rizwan Ahmed Cheema","Canada","t20s",8,8,144,"24.0",191,5,38.2,7.96,28.8,0,0,"1/30"
"Saad Bin Zafar","Saad Bin Zafar","Canada","t20s",61,61,1296,"216.0",1352,70,19.31,6.26,18.51,0,0,"3/8"
"Salman Nazar","Salman Bin Nazar","Canada","t20s",7,7,150,"25.0",158,12,13.17,6.32,12.5,0,0,"3/19"
"Shahid Ahmadzai","Shahid Ahmadzai","Canada","t20s",1,1,12,"2.0",27,1,27,13.5,12,0,0,"1/27"
"S Dhaniram","Sunil Dhaniram","Canada","t20s",2,2,36,"6.0",32,1,32,5.33,36,0,0,"1/17"
"U Bhagwan","Uday Bhagwan Singh","Canada","t20s",4,4,72,"12.0",119,2,59.5,9.92,36,0,0,"1/24"
"U Bhatti","Umar Bhatti","Canada","t20s",2,2,30,"5.0",40,1,40,8,30,0,0,"1/26"
"Zahid Hussain","Zahid Hussain","Canada","t20s",2,2,33,"5.3",31,0,31,5.64,33,0,0,"0/20"
