"player_id","bowler","vs","ovs","runs","wkts","bbi","maidens","econ"
"13646","Romario Shepherd","Scotland","3.0","20","5","5-20","0","6.67"
"15655","Junaid Siddique","Canada","4.0","35","5","5-35","0","8.75"
"3007","Mohammad Nabi","Canada","4.0","7","4","4-7","0","1.75"
"15480","Nathan Ellis","Ireland","3.5","12","4","4-12","1","3.43"
"13214","Azmatullah Omarzai","United Arab Emirates","4.0","15","4","4-15","0","3.75"
"55799","Usman Tariq","Namibia","3.3","16","4","4-16","1","4.85"
"13316","Blessing Muzarabani","Australia","4.0","17","4","4-17","0","4.25"
"9383","Michael Leask","Italy","4.0","17","4","4-17","0","4.25"
"7973","Gerhard Erasmus","India","4.0","20","4","4-20","0","5.00"
"8426","Harmeet Singh","Netherlands","4.0","21","4","4-21","0","5.25"
"8642","Adam Zampa","Oman","3.2","21","4","4-21","0","6.56"
"14565","Marco Jansen","India","3.5","22","4","4-22","0","6.29"
"8642","Adam Zampa","Ireland","4.0","23","4","4-23","0","5.75"
"2245","Shadley van Schalkwyk","India","4.0","25","4","4-25","0","6.25"
"2245","Shadley van Schalkwyk","Pakistan","4.0","25","4","4-25","0","6.25"
