"player_id","bowler","matches","overs","wkts","sr"
"2245","Shadley van Schalkwyk","4","14.5","13","6.85"
"13646","Romario Shepherd","5","8.2","6","8.33"
"13214","Azmatullah Omarzai","4","13.5","9","9.22"
"11177","Rachin Ravindra","7","17.0","11","9.27"
"7973","Gerhard Erasmus","4","11.0","7","9.43"
"9383","Michael Leask","4","16.0","9","10.67"
"13316","Blessing Muzarabani","6","23.5","13","11.00"
"8642","Adam Zampa","4","15.2","8","11.50"
"55799","Usman Tariq","5","19.3","10","11.70"
"15655","Junaid Siddique","4","13.4","7","11.71"
"11229","Richard Ngarava","3","12.0","6","12.00"
"14565","Marco Jansen","6","22.4","11","12.36"
"8393","Dushmantha Chameera","6","21.0","10","12.60"
"12160","Shaheen Afridi","5","17.0","8","12.75"
"19592","Brad Evans","6","21.2","10","12.80"
