"player_id","batter","matches","inns","runs","4s"
"13625","Sahibzada Farhan","6","6","383","37"
"23616","Brian Bennett","6","6","292","32"
"9582","Aiden Markram","8","8","286","32"
"9443","Tim Seifert","7","7","274","32"
"10276","Ishan Kishan","8","8","263","29"
"19636","Jacob Bethell","8","8","280","25"
"11172","Finn Allen","7","7","289","24"
"13682","Pathum Nissanka","7","7","211","23"
"8271","Sanju Samson","4","4","232","22"
"7915","Suryakumar Yadav","8","8","242","21"
"12201","Harry Brook","8","8","235","21"
"15081","Pavan Rathnayake","7","7","205","21"
"10103","George Munsey","4","4","134","21"
"9494","Kusal Mendis","6","6","197","20"
"15877","Tadiwanashe Marumani","6","6","131","20"
